user_id,tanggal,keterangan,tipe,jumlah
andi_designer,2024-07-26,Kebutuhan Harian,Pengeluaran,-40447.0
andi_designer,2024-07-27,Kebutuhan Harian,Pengeluaran,-155725.0
andi_designer,2024-07-28,Kebutuhan Harian,Pengeluaran,-185734.0
andi_designer,2024-07-29,Pemasukan Proyek Utama,Pemasukan,3624170.0
andi_designer,2024-07-29,Kebutuhan Harian,Pengeluaran,-42106.0
andi_designer,2024-07-30,Kebutuhan Harian,Pengeluaran,-42758.0
andi_designer,2024-07-31,Kebutuhan Harian,Pengeluaran,-58117.0
andi_designer,2024-08-01,Kebutuhan Harian,Pengeluaran,-54857.0
andi_designer,2024-08-02,Kebutuhan Harian,Pengeluaran,-57596.0
andi_designer,2024-08-03,Kebutuhan Harian,Pengeluaran,-167642.0
andi_designer,2024-08-04,Kebutuhan Harian,Pengeluaran,-193450.0
andi_designer,2024-08-05,Bayar Kos,Pengeluaran,-1500000.0
andi_designer,2024-08-05,Kebutuhan Harian,Pengeluaran,-47663.0
andi_designer,2024-08-06,Kebutuhan Harian,Pengeluaran,-43156.0
andi_designer,2024-08-07,Kebutuhan Harian,Pengeluaran,-40663.0
andi_designer,2024-08-08,Kebutuhan Harian,Pengeluaran,-59618.0
andi_designer,2024-08-09,Kebutuhan Harian,Pengeluaran,-57402.0
andi_designer,2024-08-10,Bayar Internet,Pengeluaran,-350000.0
andi_designer,2024-08-10,Kebutuhan Harian,Pengeluaran,-106084.0
andi_designer,2024-08-11,Pemasukan Proyek Revisi,Pemasukan,924943.0
andi_designer,2024-08-11,Kebutuhan Harian,Pengeluaran,-110712.0
andi_designer,2024-08-12,Pemasukan Proyek Revisi,Pemasukan,530587.0
andi_designer,2024-08-12,Kebutuhan Harian,Pengeluaran,-50057.0
andi_designer,2024-08-13,Kebutuhan Harian,Pengeluaran,-57264.0
andi_designer,2024-08-14,Pemasukan Proyek Revisi,Pemasukan,736946.0
andi_designer,2024-08-14,Kebutuhan Harian,Pengeluaran,-59879.0
andi_designer,2024-08-15,Pemasukan Proyek Revisi,Pemasukan,938080.0
andi_designer,2024-08-15,Kebutuhan Harian,Pengeluaran,-46993.0
andi_designer,2024-08-16,Kebutuhan Harian,Pengeluaran,-53786.0
andi_designer,2024-08-17,Kebutuhan Harian,Pengeluaran,-141717.0
andi_designer,2024-08-18,Kebutuhan Harian,Pengeluaran,-126283.0
andi_designer,2024-08-19,Kebutuhan Harian,Pengeluaran,-42809.0
andi_designer,2024-08-20,Langganan Adobe,Pengeluaran,-800000.0
andi_designer,2024-08-20,Kebutuhan Harian,Pengeluaran,-51360.0
andi_designer,2024-08-21,Kebutuhan Harian,Pengeluaran,-45330.0
andi_designer,2024-08-22,Kebutuhan Harian,Pengeluaran,-46352.0
andi_designer,2024-08-23,Kebutuhan Harian,Pengeluaran,-57422.0
andi_designer,2024-08-24,Kebutuhan Harian,Pengeluaran,-149482.0
andi_designer,2024-08-25,Kebutuhan Harian,Pengeluaran,-109666.0
andi_designer,2024-08-26,Kebutuhan Harian,Pengeluaran,-59289.0
andi_designer,2024-08-27,Kebutuhan Harian,Pengeluaran,-49244.0
andi_designer,2024-08-28,Kebutuhan Harian,Pengeluaran,-51350.0
andi_designer,2024-08-29,Kebutuhan Harian,Pengeluaran,-43696.0
andi_designer,2024-08-30,Kebutuhan Harian,Pengeluaran,-59065.0
andi_designer,2024-08-31,Pemasukan Proyek Utama,Pemasukan,3352726.0
andi_designer,2024-08-31,Kebutuhan Harian,Pengeluaran,-131950.0
andi_designer,2024-09-01,Kebutuhan Harian,Pengeluaran,-120740.0
andi_designer,2024-09-02,Kebutuhan Harian,Pengeluaran,-50379.0
andi_designer,2024-09-03,Kebutuhan Harian,Pengeluaran,-52846.0
andi_designer,2024-09-04,Kebutuhan Harian,Pengeluaran,-57887.0
andi_designer,2024-09-05,Bayar Kos,Pengeluaran,-1500000.0
andi_designer,2024-09-05,Kebutuhan Harian,Pengeluaran,-40104.0
andi_designer,2024-09-06,Kebutuhan Harian,Pengeluaran,-44692.0
andi_designer,2024-09-07,Kebutuhan Harian,Pengeluaran,-197636.0
andi_designer,2024-09-08,Kebutuhan Harian,Pengeluaran,-186052.0
andi_designer,2024-09-09,Kebutuhan Harian,Pengeluaran,-51550.0
andi_designer,2024-09-10,Bayar Internet,Pengeluaran,-350000.0
andi_designer,2024-09-10,Kebutuhan Harian,Pengeluaran,-55198.0
andi_designer,2024-09-11,Kebutuhan Harian,Pengeluaran,-52693.0
andi_designer,2024-09-12,Kebutuhan Harian,Pengeluaran,-52470.0
